source,added,keep,name,search_ddg_tmp,party,gender,dep17,mandates,twitter,description,city,dept,geo,notes,notes_url,flag_collected_31_may_2019,EM_zone,EM_career,id,statuses,followers,created,last_tweeted
Twitter,2015-06,"no, ambiguous identity",Alain BUCHERIE,,DVD,m,,"Conseiller régional, Maire adjoint",alainbucherie,,la rochelle,charente maritime,y,,,FALSE,,,,,,,
eTerritoire,2015-06,yes,Alexandre RASSAERT,,DVD,m,,Maire,alexrassaert,Maire et conseiller départemental de Gisors,gisors,eure,y,,,TRUE,,,,,,,
Twitter,2015-06,yes,Anne BOISSEL,,DVD-DLF,f,,"Responsable politique national, Sans mandat électif courant",boissanne,,,,n,VP DLF,,TRUE,,,,,,,
Twitter,2015-06,yes,Anne BOURDU,,DVD,f,,"Maire adjoint, Responsable politique national",annebourdu,Avocat IP NTIC droit économique. Médiateur CMAP. Maire Adjoint Maison Droit & Ecologie Urbaine Colombes 1ere Vice Psdte Parti Libéral Démocrate,colombes,hauts de seine,y,VP PLD,,TRUE,,,,,,,
Twitter,2015-06,yes,Anne-Sophie TASZAREK,,DVD,f,,Conseiller régional,astaszarek,Conseillère Régionale du NPDC. Présidente de l'asso Chiens et Chats en Détresse - Présidente Départementale de la SSVP,,pas de calais,y,,,TRUE,,,,,,,
Twitter,2015-06,yes,Antoine CHEREAU,,DVD,m,,"Conseiller régional, Maire, Président de Communauté d'Agglomération",antoine_chereau,"Maire de Montaigu, conseiller régional des Pays de la Loire",montaigu,vendee,y,MPF (WP-FR),,TRUE,,,,,,,
Élus 2.0,2015-06,"no, use updated profile",Arnaud CLEMENT,,DVD,m,,"Conseiller communautaire, Maire adjoint",arnaudclement36,"Maire-Adjoint de Châteauroux, Conseiller Communautaire de l'Agglomération Castelroussine",,,n,,,TRUE,,,91442788,1674,636,2009,21/04/2015
Twitter,2015-06,yes,Arnaud CLEMENT,,DVD,m,,"Conseiller communautaire, Conseiller municipal",arnaudclement36,Enseignant. Gaulliste. Conseiller Municipal de #Châteauroux. Conseiller Communautaire de l'Agglomération Castelroussine.,chateauroux,indre,y,,,TRUE,,,91442788,1674,636,2009,21/04/2015
Twitter,2015-06,yes,Arnaud DASSIER,,DVD,m,,"Responsable politique national, Sans mandat électif courant",arnauddassier,"Entrepreneur internet, business angel, VP du @partiliberal Engagé mais libre. Agent provocateur.",,,n,VP PLD,,TRUE,,,,,,,
Twitter,2015-06,yes,Aurélien VERON,,DVD,m,,"Responsable politique national, Sans mandat électif courant",aurelien_veron,Tête de liste #Régionales2015 #LeGrandPariLibéral en IdF President du @PartiLiberal,,paris,y,P PLD,,TRUE,,,,,,,
Élus 2.0,2015-06,"no, use updated profile",Benoît BORDAT,,DVD,m,,"Conseiller communautaire, Conseiller municipal",bordatbenoit,Conseiller Municipal de Dijon,,,n,,,TRUE,,,432344397,5132,1021,2011,21/04/2015
Twitter,2015-06,yes,Benoît BORDAT,,DVD,m,,Conseiller municipal,bordatbenoit,"Conseiller Municipal #Dijon. Amateur de #vins, amoureux des #abeilles Délégué Regional #Cap21 #Lepage #Rebsamen #cmdijon #politique #jesuischarlie #ecologie",dijon,cote d or,y,,,TRUE,,,432344397,5132,1021,2011,21/04/2015
Élus 2.0,2015-06,"no, use updated profile",Christine BOUTIN,,DVD,f,,Conseiller départemental,christineboutin,"Conseillère générale des Yvelines, Chargée de mission auprès du Président de la République 'Justice sociale et mondialisation', Conseillère politique de l'UMP et Présidente du Parti Chrétien-Démocrate",,yvelines,y,,,TRUE,,,90635543,13025,90774,2009,21/04/2015
Twitter,2015-06,yes,Christine BOUTIN,,DVD-PCD,f,,Conseiller départemental,christineboutin,"Conseiller departemental du canton de Rambouillet , Ancien ministre, President d'honneur du PCD (Parti Chrétien Democrate)",rambouillet,yvelines,y,"P (fondatrice) PCD, very close to UMP",,TRUE,,,90635543,13025,90774,2009,21/04/2015
Twitter,2015-06,"no, ambiguous identity",Claude GAUTIER,,DVD,m,,Conseiller départemental,claudegautier44,,,,n,,,FALSE,,,,,,,
Élus 2.0,2015-06,"no, use updated profile",Corinne LEPAGE,,DVD,f,,Député européen,corinnelepage,Députée européenne et Présidente de CAP21,,,n,,,TRUE,,,31177357,10727,63146,2009,21/04/2015
Twitter,2015-06,yes,Corinne LEPAGE,,DVD,f,,"Responsable politique national, Sans mandat électif courant",corinnelepage,Ancienne Ministre de l'environnement Présidente du Rassemblement Citoyen Députée européenne 2009-2014 Avocate,,,n,,,TRUE,,,31177357,10727,63146,2009,21/04/2015
Élus 2.0,2015-06,"no, use updated profile",Denis BROLIQUIER,,DVD,m,,"Conseiller communautaire, Maire",denisbroliquier,"Maire du 2 ème arrondisssement de Lyon, Conseiller Communautaire du Grand Lyon et Président de Lyon Divers Droite",,,n,,,TRUE,,,216361551,42,423,2010,28/03/2011
Twitter,2015-06,yes,Denis BROLIQUIER,,DVD,m,,"Conseiller communautaire, Maire",denisbroliquier,"Maire du 2 ème arrondissement de LYON depuis 2001, Conseiller Communautaire du Grand Lyon - Groupe Politique (Président) : LYON DIVERS DROITE",lyon,rhone,y,,,TRUE,,,216361551,42,423,2010,28/03/2011
Élus 2.0,2015-06,"no, use updated profile",Dominique DE VILLEPIN,,DVD,m,,"Responsable politique national, Sans mandat électif courant",villepin,Président du Parti 'République Solidaire',,,n,,,TRUE,,,29499020,614,56678,2009,10/01/2015
Twitter,2015-06,yes,Dominique DE VILLEPIN,,DVD,m,,"Responsable politique national, Sans mandat électif courant",villepin,Ancien ministre des Affaires étrangères et Premier ministre de la République Française.,,,n,P (fondateur) RS,,TRUE,,,29499020,614,56678,2009,10/01/2015
Twitter,2015-06,yes,Dominique JAMET,,DVD-DLF,m,,"Responsable politique national, Sans mandat électif courant",dominiquejamet,"Journaliste, écrivain, candidat Debout la République aux élections européennes en Île-de-France.",,paris,y,VP DLF,,TRUE,,,,,,,
Élus 2.0,2015-06,"no, use updated profile",Dominique LEMOINE,,DVD,m,,"Conseiller communautaire, Conseiller municipal",lemoinedo,"Conseiller municipal de Tours, Conseiller à l'agglomération de Tours et Porte-parole de CAP21",,,n,,,TRUE,,,210376072,955,421,2010,21/04/2015
Twitter,2015-06,yes,Dominique LEMOINE,,DVD,m,,Sans mandat électif courant,lemoinedo,Ingénieur physicien,,,n,,,TRUE,,,210376072,955,421,2010,21/04/2015
Twitter,2015-06,yes,Eric JURAMY,,DVD,m,,"Responsable politique national, Sans mandat électif courant",ericjuramy,Vice-président trésorier du Parti Libéral Démocrate - mes tweets n'engagent que ceux qui les lisent,,,n,VP + T PLD,,TRUE,,,,,,,
Twitter,2015-06,yes,Franck MARGAIN,,DVD-PCD,m,,"Conseiller municipal, Conseiller régional, Responsable politique national",franckmargain,Conseiller régional UMP. Vice-président du Parti-Chrétien Démocrate. @le_pcd Conseiller d'opposition dans le XIIème arrondissement de Paris,paris,paris,y,"VP PCD, UMP office-holder",,TRUE,,,,,,,
Twitter,2015-06,yes,Henri PAILLEUX,,DVD,m,,Maire,henripailleux,"Henri Pailleux, maire de Coignières, ancien vice président du conseil général des Yvelines",coignieres,yvelines,y,,,TRUE,,,,,,,
Twitter,2015-06,yes,Hervé BALLE,,DVD,m,,"Responsable politique national, Sans mandat électif courant",herveballe,Président de l'association de quartier Vincennes-Est.Candidat aux élections départementales de Mars 2015. Conseiller en insertion professionnelle à Pôle Emploi.,vincennes,val de marne,y,T CAP21-LRC (does not state it on his profile),,TRUE,,,,,,,
Twitter,2015-06,yes,Jacques KRABAL,,DVD,m,,"Député, Maire",jkrabal,"Député de l'Aisne, maire de Château-Thierry, Com dév durable, et aménagement du territoire - Pdt Groupe d'Etudes Papier et imprimés Parti Radical de Gauche",chateau thierry,aisne,y,quit PRG to join CAP21-LRC in late 2014,,TRUE,,,1946847096,1800,940,2013,17/04/2015
Twitter,2015-06,yes,Jean RAPENNE,,DVD,m,,"Responsable politique national, Sans mandat électif courant",jrapenne,CAP21 Le Rassemblement Citoyen - Secrétaire Général,,,n,SG CAP21-LRC,,TRUE,,,,,,,
Twitter,2015-06,yes,Jean-Bernard MOREL,,DVD,m,,Maire adjoint,jbernardmorel,Directeur d'Agence Caisse d'Epargne Bretagne Pays de Loire - Maire Adjoint CHANGE (53) - Environnement et Développement durable.,change,mayenne,y,"unsure about party affiliation, might be UDI.",,TRUE,,,,,,,
Élus 2.0,2015-06,"no, use updated profile",Jean-Frédéric POISSON,,DVD,m,,"Député, Maire adjoint, Président de Communauté d'Agglomération",jfpoisson78,"Député de la 10e circonscription des Yvelines, Premier adjoint au maire de Rambouillet (chargé de l’urbanisme, des ressources humaines et de la démarche qualité), Président de la Communauté de Communes Plaines et Forêt d’Yveline et Conseiller national UMP",,,n,,,TRUE,,,578114675,2509,7546,2012,17/04/2015
Twitter,2015-06,yes,Jean-Frédéric POISSON,,DVD-PCD,m,,"Député, Maire adjoint, Président de Communauté d'Agglomération",jfpoisson78,Député PCD-UMP des Yvelines. Président du Parti-Chrétien Démocrate. Vice-président de la Commission des Lois à l'Assemblée nationale.,,yvelines,y,P PCD,,TRUE,,,578114675,2509,7546,2012,17/04/2015
Twitter,2015-06,"no, ambiguous identity",Jean-Luc TOULY,,DVD,m,,Conseiller régional,jltouly,,,essonne,y,,,FALSE,,,,,,,
Twitter,2015-06,yes,Jean-Pierre ENJALBERT,,DVD,m,,"Conseiller départemental, Maire, Responsable politique national",jp_enjalbert,"Maire de St-Prix, Conseiller Général du Val d'Oise, Vice Président de DLR, Médecin Angiologue, Auteur de : La Malbouffe libre et non faussee",,val d oise,y,,,TRUE,,,,,,,
Twitter,2015-06,yes,Jean-Pierre GRAND,,DVD,m,,"Maire, Responsable politique national, Sénateur",jeanpierregrand,Sénateur - Maire de Castelnau-le-Lez,castelnau le lez,herault,y,P RS,,TRUE,,,186799138,808,1387,2010,17/04/2015
Élus 2.0,2015-06,"no, use updated profile",Jelle LEMAITRE,,DVD,m,,Conseiller municipal,jellelemaitre,Conseiller municipal de Questembert,,,n,,,TRUE,,,146984545,1220,691,2010,13/04/2015
Twitter,2015-06,yes,Jelle LEMAITRE,,DVD,m,,Sans mandat électif courant,jellelemaitre,Directeur de la communication du diocèse de Rennes - Docteur en droit public - Chargé d'enseignement à l'IEP de Rennes et à l'Université de Rennes 1,rennes,ille et vilaine,y,,,TRUE,,,146984545,1220,691,2010,13/04/2015
Twitter,2015-06,"no, left politics",Louis-Marie BACHELOT,https://duckduckgo.com/?q=Louis-Marie+BACHELOT+twitter,DVD,m,,"Responsable politique national, Sans mandat électif courant",louismbachelot,Consultant et entrepreneur en biotechnologies santé. Secrétaire Général @partiliberal @UDI_off49 #Angers #circo4901,angers,maine et loire,y,SG PLD,,FALSE,,,,,,,
Twitter,2015-06,"no, ambiguous identity",Marie-Thérèse BESSON,,DVD,f,,Conseiller régional,bessonthrse,,,yvelines,y,,,FALSE,,,,,,,
Élus 2.0,2015-06,"no, use updated profile",Nicolas DUPONT-AIGNAN,,DVD,m,,"Député, Maire",dupontaignan,Député et Président du parti 'Debout la République',,,n,,,TRUE,,,38170599,5469,65380,2009,17/04/2015
Twitter,2015-06,yes,Nicolas DUPONT-AIGNAN,,DVD,m,,"Député, Maire, Président de Communauté d'Agglomération, Responsable politique national",dupontaignan,Député de l'Essonne et président de Debout La France http://t.co/2MxXRpHodM,,essonne,y,P DLF,,TRUE,,,38170599,5469,65380,2009,17/04/2015
Twitter,2015-06,yes,Patrick MIGNON,,DVD,m,,"Responsable politique national, Sans mandat électif courant",pamignon,Vice-Président de Debout La France - Toujours supporteur de l'Aviron Bayonnais Rugby Pro - Commandant de Bord Air France,bayonne,pyrenees atlantiques,y,,,TRUE,,,,,,,
Twitter,2015-06,yes,Philippe DE VILLIERS,,DVD,m,,"Responsable politique national, Sans mandat électif courant",phdevilliers,"Fondateur du @PuyduFou, Président du MPF, Écrivain, Ancien Ministre, Ancien député européen,. Ancien Président du CG de Vendée Compte officiel",,vendee,y,P MPF,,TRUE,,,1949069192,296,6996,2013,26/03/2015
Twitter,2015-06,yes,Rémy REBEYROTTE,,DVD,m,,"Conseiller départemental, Maire, Président de Communauté d'Agglomération",rrebeyrotte,Maire d'Autun - Président de la Communauté de Communes du Grand Autunois-Morvan. @AutunVille @CCGAM71,autun,saone et loire,y,listed as ex-PS and CAP21-LRC (WP-FR),,TRUE,,,,,,,
eTerritoire,2015-06,yes,Richard GALY,,DVD,m,,Maire,richardgaly,Maire de #Mougins. Conseiller regional PACA. 1er vice-president des Pays de Lérins.,mougins,alpes maritimes,y,,,TRUE,,,,,,,
Twitter,2015-06,yes,Rodolphe ALEXANDRE,,DVD,m,,Président de Conseil Régional,rphealexandre,Docteur en histoire. Président de la @RegionGuyane. Président de @Guyane73.,,DOM TOM-GUYANE,y,,,TRUE,,,,,,,
Twitter,2015-06,yes,Thibault COULON,,DVD,m,,Conseiller régional,thibaultcoulon,Conseiller régional de Tours (région Centre).,tours,indre et loire,y,,,TRUE,,,391453555,188,463,2011,14/11/2013
Élus 2.0,2015-06,"no, use updated profile",Thierry MOUILLAC,,DVD,m,,Maire adjoint,thierrymouillac,"Adjoint au Maire du 6e ardt de Lyon, délégué à la démocratie de proximité et aux conseils de quartier",,,n,,,TRUE,,,48291725,5884,832,2009,20/04/2015
Twitter,2015-06,yes,Thierry MOUILLAC,,DVD,m,,Sans mandat électif courant,thierrymouillac,Président du Parti Libéral Démocrate du Rhône,,rhone,y,,,TRUE,,,48291725,5884,832,2009,20/04/2015
eTerritoire,2015-06,yes,Thomas VIDAL,,DVD,m,,"Maire, Vice-Président de Communauté d'Agglomération",vidalthomasgard,Maire de Valleraugue - 1er Vice-president Com Com Causses Aigoual Cévennes - Vice-président Pays Aigoual Cévennes Vidourle,valleraugue,gard,y,WP-FR says both SE and DVD,,TRUE,,,,,,,
Twitter,2015-06,yes,Véronique BESSE,,DVD,f,,"Conseiller régional, Député, Maire, Responsable politique national",veroniquebesse,Député de la #Vendée - Maire des #Herbiers - Coprésidente du Groupe d'étude sur les Chrétiens d'Orient #AN,herbiers,vendee,y,VP MPF; not listed by Regards Citoyens despite being MP,,TRUE,,,,,,,
Twitter,2015-06,yes,Véronique LAPREE,,DVD,f,,"Conseiller régional, Maire adjoint",veroniquelapree,"Conseillère Régionale Poitou Charentes, Adjoint au Maire de Meursac, élue à la Chambre d'Agriculture 17",meursac,charente maritime,y,"MPF, joined UMP list on first round",,TRUE,,,,,,,
Twitter,2015-06,"no, private account",Xavier LEMOINE,,DVD-PCD,m,,"Maire, Responsable politique national",xavier_lemoine,Maire de Montfermeil,montfermeil,seine saint denis,y,VP PCD,,FALSE,,,,,,,
Twitter,2015-06,yes,Yannick DAVID,,DVD,m,,"Conseiller régional, Maire, Président de Communauté d'Agglomération",yannickdavid85,Maire de #LaChaizeLeVicomte Conseiller Régional PDL Directeur département #Droit @ICES_UnivCatho Vice-Pdt #LaRocheAgglo,la chaize le vicomte,vendee,y,,,TRUE,,,,,,,
Regards Citoyens,2015-06,yes,Bruno Nestor AZEROT,,DVG,m,,"Député, Maire",bnazerot,Député de la 2°circonscription de Martinique / VP Commission des Affaires Eco/ Maire de Sainte-Marie,sainte marie,DOM TOM-MARTINIQUE,y,,,TRUE,,,1506150265,178,696,41436,NA
Twitter,2015-06,yes,Claude ZEMMOUR,,DVG,m,,Conseiller régional,claudezemmour,,,herault,y,,,TRUE,,,,,,,
eTerritoire,2015-06,yes,Cyril BOULLEAUX,,DVG,m,,Maire,cyril_boulleaux,Maire #VilleneuveSurYonne ~Président de Communauté #Communes ~Ex-Conseiller général #Yonne #ComPublique #Celsa GénérationRépubliqueModerne #HumanisteRépublicain,villeneuve sur yonne,yonne,y,,,TRUE,,,,,,,
Élus 2.0,2015-06,"no, use updated profile",Dimitri BANDINI,,DVG,m,,"Conseiller communautaire, Conseiller municipal",dimitribandini,"Conseiller municipal d'Avon, Conseiller communautaire du Pays de Fontainebleau, Responsable national du Mouvement Unitaire Progressiste, Responsable du Mouvement Unitaire Progressiste en Seine-et-Marne",,,n,,,TRUE,,,390714783,479,196,2011,16/04/2015
Twitter,2015-06,yes,Dimitri BANDINI,,DVG,m,,"Conseiller communautaire, Conseiller municipal",dimitribandini,Conseiller municipal d'Avon - Conseiller communautaire du Pays de Fontainebleau,fontainebleau,seine et marne,y,,,TRUE,,,390714783,479,196,2011,16/04/2015
Twitter,2015-06,"no, account suspended",François BECHIEAU,,DVG,m,,"Responsable politique national, Sans mandat électif courant",fbech,Secrétaire général du mouvement des Progressistes (mdP),,,n,PP MdP,http://www.md-progressistes.fr/qui-sommes-nous/executif-national/,FALSE,,,,,,,
Twitter,2015-06,"no, ambiguous identity",Françoise DAL,,DVG,f,,Conseiller régional,francoisedal,,,nord,y,,,FALSE,,,,,,,
Twitter,2015-06,yes,Gérard CAUDRON,,DVG,m,,Maire,caudrongerard,Maire de Villeneuve d'Ascq,villeneuve d ascq,nord,y,,,TRUE,,,1897456250,60,178,2013,16/04/2015
Twitter,2015-06,yes,Guillaume MATHELIER,,DVG,m,,"Conseiller communautaire, Maire",mathelierg,"Maire de la commune d'Ambilly (Haute-Savoie), Membre du Bureau national du Parti socialiste, Docteur en Sciences politiques",ambilly,haute savoie,y,,,TRUE,,,,,,,
Twitter,2015-06,yes,Hervé PELLOIS,,DVG,m,,Député,hervepellois,#Député du #Morbihan,,morbihan,y,,,TRUE,,,920876347,613,1021,2012,15/04/2015
Twitter,2015-06,yes,Isabelle ATTARD,,DVG,f,,Député,teamisaattard,"Isabelle Attard (IA), députée du Calvados, membre de @Nouvelle_Donne, et ses attachés parlementaires (SA et FT). #ReprendreLaMain !",,calvados,y,ex-EELV,,TRUE,,,515252450,9405,4525,2012,21/04/2015
Twitter,2015-06,yes,Jacques CORNANO,,DVG,m,,"Maire, Sénateur",cornanojacques,"Sénateur de la #Guadeloupe (971), Maire de Saint-Louis de #MarieGalante, Commission du #Devdurable [...] French #Senator #caribbean http://t.co/fW5oIZjJMI",saint louis de marie galante,DOM TOM-GUADELOUPE,y,,,TRUE,,,521554712,557,346,2012,21/04/2015
Regards Citoyens,2015-06,yes,Jacques GILLOT,,DVG,m,,Sénateur,jacques_gillot,,,DOM TOM-GUADELOUPE,y,"Guadeloupe Unie Socialisme et Réalité, sits with PS",,TRUE,,,2999842084,38,121,42030,NA
Twitter,2015-06,yes,Jallal CHOUAOUI,,DVG,m,,"Conseiller communautaire, Maire adjoint",jallalchouaoui,Maire Adjoint - Conseiller de la Communauté de l'Agglomération Creilloise - Président de Nogent Citoyen - Porte parole Nouvelle Donne Oise,creil,oise,y,"ex-UDI, now ND",,TRUE,,,301821009,328,165,2011,15/04/2015
Twitter,2015-06,yes,Jean-Luc LAURENT-1,,DVG,m,,"Député, Maire, Responsable politique national",jluc_laurent,"Compte officiel de Jean-Luc Laurent, Député du Val-de-Marne, Maire du Kremlin-Bicêtre ,Président du @MRC_France",kremlin bicetre,val de marne,y,"P MRC, homonym with @j2l_jean",,TRUE,,,625311476,759,1148,2012,16/04/2015
Twitter,2015-06,yes,Jean-Luc ROMERO,,DVG,m,,"Conseiller municipal, Conseiller régional",jeanlucromero,"Elu #Paris12 & #IleDeFrance - militant contre le #sida ,pro #DroitdeMourirDansLaDignité #Egalite French activist against #AIDS,#GayRights & #RightToDieInDignity",paris,paris,y,"ex-UMP, now app. PS (WP-FR)",,TRUE,,,34737026,28349,61458,2009,21/04/2015
Twitter,2015-06,yes,Jean-Marc NICOLLE,,DVG,m,,"Conseiller régional, Maire adjoint, Président de Communauté d'Agglomération",jeanmarcnicolle,"1er Maire-adjoint du Kremlin-Bicêtre, Conseiller Régional - Délégué spécial du #GrandParis @MRC_France",kremlin bicetre,essonne,y,MRC (WP-FR),,TRUE,,,,,,,
Twitter,2015-06,"no, deleted account",Jean-Marc WILLER,https://duckduckgo.com/?q=Jean-Marc+WILLER+twitter,DVG,m,,"Conseiller régional, Maire",jmarcwiller,Maire d'Erstein et Conseiller Regional d'Alsace,erstein,bas rhin,y,,,FALSE,,,,,,,
Twitter,2015-06,yes,Jean-Noël CARPENTIER,,DVG,m,,"Député, Maire",carpentierjn,Maire de Montigny-Les-Cormeilles (95). Député du Val D'Oise,montigny les cormeilles,val d oise,y,PP MdP; sits with PRG,http://www.md-progressistes.fr/qui-sommes-nous/executif-national/,TRUE,,,2468837369,28,97,2014,11/04/2015
Twitter,2015-06,yes,Jean-Paul BACHY,,DVG,m,,Président de Conseil Régional,jpbachy,"Président de la région Champagne-Ardenne, de l'Assemblée des Régions Européenne Viticoles, de la commission Internationale de l'ARF et vice président de l'AIRF",,ardennes,y,,,TRUE,,,,,,,
Twitter,2015-06,yes,Jean-Paul BORE,,DVG,m,,Conseiller régional,jpbore2014,"Conseiller Régional Languedoc-Roussillon. Délégué à la jeunesse, au handicap. Lutte contre les discriminations, le racisme, l'antisémitisme et la xénophobie",nimes,gard,y,,,TRUE,,,,,,,
Élus 2.0,2015-06,"no, use updated profile",Jean-Pierre CHEVENEMENT,,DVG,m,,Sénateur,chevenement,"Sénateur du Territoire de Belfort, Président d'honneur du Mouvement Républicain et Citoyen et Président de la Fondation Res Publica",belfort,territoire de belfort,y,,,TRUE,,,57116930,3475,53797,2009,21/04/2015
Twitter,2015-06,yes,Jean-Pierre CHEVENEMENT,,DVG,m,,"Responsable politique national, Sans mandat électif courant",chevenement,Ancien ministre. Président d'honneur du Mouvement Républicain et Citoyen (@MRC_France). Pdt de la Fondation Res Publica (@fondarespublica).,belfort,territoire de belfort,y,P d'honneur MRC,,TRUE,,,57116930,3475,53797,2009,21/04/2015
Twitter,2015-06,yes,Karine CHEVALIER,,DVG,f,,Conseiller régional,karinechevalier,"Conseillère Régionale Languedoc Roussillon déléguée aux Ecoles de la deuxième chance et a l ESS , secretaire de la section PS Béziers 3 ,prof d'histoire-géo",beziers,herault,y,,,TRUE,,,,,,,
Twitter,2015-06,yes,Ladislas POLSKI,,DVG,m,,"Conseiller municipal, Conseiller régional",ladislaspolski,"Conseiller Municipal de La TRINITE, Conseiller Régional PACA, Secrétaire National du MRC",la trinite,alpes maritimes,y,MRC (WP-FR),,TRUE,,,,,,,
Twitter,2015-06,yes,Laurent LANYI,,DVG,m,,Sans mandat électif courant,lanyi1lanyi,Conseiller municipal d'opposition à Carrieres sous Poissy 78 Adherent au MdP (Mouvement des Progressistes) Délégué departemental du MdP Yvelines,poissy,yvelines,y,,,TRUE,,,,,,,
Twitter,2015-06,yes,Marie-France BECHTEL,,DVG,f,,"Député, Responsable politique national",mfbechtel,"Députée de l'Aisne (4e circonscription), Vice-présidente de la Commission des lois, Vice-présidente du @MRC_France",,aisne,y,VP MRC,,TRUE,,,974283673,374,754,2012,14/04/2015
Twitter,2015-06,yes,Olivier BESANCENOT,,DVG,m,,"Responsable politique national, Sans mandat électif courant",olbesancenot,Ceci est le compte officiel d'Olivier Besancenot. Il est alimenté par Olivier (vrais tweets) et l'équipe informatique du NPA (communiqués de presse).,villeneuve d ascq,nord,y,PP NPA,,TRUE,,,,,,,
Twitter,2015-06,yes,Pascal MOYSON,,DVG,m,,Maire adjoint,pmoyson,Adjoint au Maire de Villeneuve d'Ascq,villeneuve d ascq,nord,y,"unsure about party affiliation, but mayor @CaudronGerard is coded as DVG (WP-FR)",,TRUE,,,,,,,
Élus 2.0,2015-06,"no, use updated profile",Philippe BLET,,DVG,m,,"Maire adjoint, Président de Communauté d'Agglomération",philblet,"Président de la Communauté d'agglomération CAP CALAISIS Terre d'Opale, 1er Maire-Adjoint de Calais",calais,pas de calais,y,,,TRUE,,,26454400,4877,928,2009,21/04/2015
Twitter,2015-06,yes,Philippe BLET,,DVG,m,,"Maire adjoint, Président de Communauté d'Agglomération",philblet,"Président Communauté d'Agglomeration CAP CALAISIS Terre d'Opale, Maire-Adjoint de Calais, Mouvement Républicain et Citoyen 62 #MRC",calais,pas de calais,y,,,TRUE,,,26454400,4877,928,2009,21/04/2015
Twitter,2015-06,yes,Philippe MUSSI,,DVG,m,,Conseiller régional,philippemussi,"@Nouvelle_Donne Conseiller Régional @regionpaca, Chercheur @Inria et @EITICTLabs, membre CA @SNCS_FSU, VP @OpendataFrance, membre @CNIG_France et CNIS",,alpes maritimes,y,"now with ND, elected as EELV (WP-FR)",,TRUE,,,,,,,
Élus 2.0,2015-06,"no, use updated profile",Philippe POUTOU,,DVG,m,,Sans mandat électif courant,philippepoutou,Candidat du NPA à l'élection présidentielle de 2012,,,n,,,TRUE,,,374392774,1473,86158,2011,21/04/2015
Twitter,2015-06,yes,Philippe POUTOU,,DVG,m,,"Responsable politique national, Sans mandat électif courant",philippepoutou,Ouvrier dans l'automobile et porte-parole du NPA.,,,n,PP NPA,,TRUE,,,374392774,1473,86158,2011,21/04/2015
eTerritoire,2015-06,yes,Philippe SAUREL,,DVG,m,,"Maire, Président de Communauté d'Agglomération",saurel2014,,montpellier,herault,y,,,TRUE,,,,,,,
Twitter,2015-06,yes,Pierre LARROUTUROU,,DVG,m,,Conseiller régional,larrouturou,"économiste, co-président de @Nouvelle_Donne",,hauts de seine,y,,,TRUE,,,18578222,3867,19258,2009,21/04/2015
Élus 2.0,2015-06,"no, use updated profile",Robert HUE,,DVG,m,,Sénateur,roberthueoff,Sénateur du Val-d'Oise et Président du Mouvement Unitaire Progressiste (MUP),,,n,,,TRUE,,,938768311,1919,4433,2012,20/04/2015
Twitter,2015-06,yes,Robert HUE,,DVG,m,,Sénateur,roberthueoff,"Président du mouvement des Progressistes (#mdP), #Sénateur, Représentant spécial pour les relations économiques de la #‎France avec l’#AfriqueDuSud.",,val d oise,y,,,TRUE,,,938768311,1919,4433,2012,20/04/2015
Élus 2.0,2015-06,"no, use updated profile",Sébastien NADOT,,DVG,m,,Sans mandat électif courant,sebastiennadot,Responsable du MUP à Toulouse,,,n,MdP,,FALSE,,,1524756601,2019,1392,2013,18/04/2015
Twitter,2019-05,yes,Sébastien NADOT,https://duckduckgo.com/?q=Sébastien+NADOT+twitter,DVG,m,,Sans mandat électif courant,Sebastien_Nadot,Membre du Parlement  Commission Dév. durable #Yemen #Ecologie @mdprogressistes #UrgenceEcologie #européennes,toulouse,haute garonne,y,MdP,,TRUE,,,1524756601,2019,1392,2013,18/04/2015
Regards Citoyens,2015-06,yes,Serge LETCHIMY,,DVG,m,,"Député, Président de Conseil Régional",sergeletchimy,Député de Martinique. Président de la Région Martinique. Président du Parti Progressiste Martiniquais. https://t.co/nI4MOw8toz,,DOM TOM-MARTINIQUE,y,"PPM, sitting with PS",,TRUE,,,470370230,1769,3921,40929,NA
Twitter,2015-06,"no, ambiguous identity",Sophie FONQUERNIE,,DVG,f,,Conseiller régional,pomdepin13,,,,n,,,FALSE,,,,,,,
Twitter,2015-06,yes,Stéphane FRIMAUDEAU,,DVG,m,,Conseiller régional,sfrimaudeau,"Conseiller régional sans étiquette des #PaysdelaLoire, Société civile, chef d'entreprise à La Roche-sur-Yon #LRSY #Vendée",,vendee,y,,,TRUE,,,,,,,
Twitter,2015-06,yes,Yamina BENGUIGUI,,DVG,f,,Conseiller municipal,yaminabenguigui,"Conseillère de Paris, Conseillère municipale du Xè arrondissement. Mes tweets sont signés Y.B, les autres sont de mon équipe.",paris,paris,y,,,TRUE,,,321441038,1518,16484,2011,14/04/2015
Élus 2.0,2015-06,"no, use updated profile",Yannick BRARD,,DVG,m,,Sans mandat électif courant,yannick_brard,"Membre de l'exécutif national, délégué départemental Val d'Oise",,,n,,,TRUE,,,1685870743,18,13,2013,28/11/2013
Twitter,2015-06,yes,Yannick BRARD,,DVG,m,,Sans mandat électif courant,yannick_brard,Délégué départemental mup95 membre de l'exécutif national,,val d oise,y,,,TRUE,,,1685870743,18,13,2013,28/11/2013
